[31-07-2025 23:36:23,125] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:36:23,173] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:36:23,225] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:36:23,272] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:36:23,332] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:36:23,381] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:36:23,431] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:36:23,477] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:36:23,523] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:36:23,569] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:36:29,240] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:36:29,290] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:36:29,349] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:36:29,401] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:36:29,457] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:36:29,507] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:36:29,570] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:36:29,640] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:36:29,686] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:36:29,735] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:36:29,782] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:36:29,839] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:36:35,063] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 80%
[31-07-2025 23:36:35,109] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 80%
[31-07-2025 23:36:35,157] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 80%
[31-07-2025 23:36:35,201] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 80%
[31-07-2025 23:36:35,245] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 80%
[31-07-2025 23:36:35,293] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 80%
[31-07-2025 23:36:35,340] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 80%
[31-07-2025 23:36:35,386] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 80%
[31-07-2025 23:36:35,435] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 80%
[31-07-2025 23:36:35,481] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 80%
[31-07-2025 23:36:35,534] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 80%
[31-07-2025 23:36:35,581] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 80%
[31-07-2025 23:36:40,863] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 90%
[31-07-2025 23:36:40,919] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 90%
[31-07-2025 23:36:40,980] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 90%
[31-07-2025 23:36:41,031] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 90%
[31-07-2025 23:36:41,083] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 90%
[31-07-2025 23:36:41,138] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 90%
[31-07-2025 23:36:41,191] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 90%
[31-07-2025 23:36:41,242] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 90%
[31-07-2025 23:36:41,290] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 90%
[31-07-2025 23:36:41,344] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 90%
[31-07-2025 23:36:41,390] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 90%
[31-07-2025 23:36:41,448] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 90%
[31-07-2025 23:36:47,448] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 100%
[31-07-2025 23:36:47,449] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Archivo respaldados exitosamente. Cantidad: 1175
[31-07-2025 23:38:35,409] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.RespaldosSoporteApplication - Se inicia Respaldos para fecha 310725
[31-07-2025 23:38:38,781] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.RespaldosSoporteApplication - Archvios Encontrados: 1175
[31-07-2025 23:38:45,033] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:38:45,079] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:38:45,138] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:38:45,184] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:38:45,232] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:38:45,281] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:38:45,326] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:38:45,371] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:38:45,418] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:38:45,469] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:38:45,516] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:38:45,574] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 10%
[31-07-2025 23:38:50,722] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:38:50,768] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:38:50,814] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:38:50,859] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:38:50,906] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:38:50,949] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:38:50,995] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:38:51,043] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:38:51,087] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:38:51,134] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:38:51,179] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:38:51,226] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 20%
[31-07-2025 23:38:56,600] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:38:56,647] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:38:56,695] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:38:56,740] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:38:56,788] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:38:56,833] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:38:56,880] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:38:56,931] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:38:56,991] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:38:57,070] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:38:57,116] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:38:57,172] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 30%
[31-07-2025 23:39:02,633] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:39:02,679] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:39:02,733] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:39:02,781] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:39:02,830] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:39:02,875] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:39:02,920] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:39:02,966] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
